x,y,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,landuse,dist.m,cluster_num
181072,333611,2.4595888418037104,4.442651256490317,5.700443573390687,6.92951677076365,7.909,0.00135803,13.6,1,1,1,Ah,50,0
181025,333558,2.151762203259462,4.394449154672439,5.6240175061873385,7.039660349862076,6.983,0.0122243,14.0,1,1,1,Ah,30,0
181165,333537,1.8718021769015913,4.219507705176107,5.293304824724492,6.461468176353717,7.8,0.103029,13.0,1,1,1,Ah,150,0
181298,333484,0.9555114450274363,4.394449154672439,4.7535901911063645,5.54907608489522,7.655,0.190094,8.0,1,2,0,Ga,270,0
181307,333330,1.0296194171811581,3.871201010907891,4.762173934797756,5.594711379601839,7.48,0.27709,8.7,1,2,0,Ah,380,0
181390,333260,1.0986122886681098,4.110873864173311,4.919980925828125,5.638354669333745,7.791,0.364067,7.8,1,2,0,Ga,470,0
181165,333370,1.1631508098056809,3.4339872044851463,4.882801922586371,5.846438775057725,8.217,0.190094,9.2,1,2,0,Ah,240,0
181027,333363,1.0296194171811581,3.367295829986474,5.0106352940962555,6.0063531596017325,8.49,0.0921516,9.5,1,1,0,Ab,120,0
181060,333231,0.8754687373538999,3.6109179126442243,4.890349128221754,5.849324779946859,8.668,0.184614,10.6,1,1,0,Ab,240,0
181232,333168,0.47000362924573563,3.1780538303479458,4.382026634673881,5.209486152841421,9.049,0.309702,6.3,1,2,0,W,420,0
181191,333115,0.3364722366212129,3.2188758248682006,4.454347296253507,5.241747015059643,9.015,0.315116,6.4,1,2,0,Fh,400,0
181032,333031,0.5877866649021191,3.2188758248682006,4.574710978503383,5.5254529391317835,9.073,0.228123,9.0,1,1,0,Ag,300,0
180874,333339,2.4159137783010487,4.532599493153256,5.652489180268651,6.999422467507961,7.32,0.0,15.4,1,1,1,W,20,0
180969,333252,0.9162907318741551,3.4339872044851463,5.209486152841421,6.222576268071369,8.815,0.113932,8.4,1,1,0,Ah,130,0
181011,333161,0.6931471805599453,3.295836866004329,4.867534450455582,5.786897381366708,8.937,0.168336,9.1,1,1,0,Ah,220,0
180830,333246,2.2512917986064953,4.454347296253507,5.480638923341991,6.939253946041508,7.702,0.0,16.2,1,1,1,W,10,0
180763,333104,1.9459101490553132,4.30406509320417,4.890349128221754,6.406879986069314,7.16,0.0122243,16.0,1,1,1,W,10,0
180694,332972,1.9600947840472698,4.23410650459726,4.997212273764115,6.566672429803241,7.1,0.0122243,16.0,1,1,1,W,10,4
180625,332847,2.163323025660538,4.23410650459726,5.332718793265369,6.5998704992128365,7.02,0.0,13.7,1,1,1,W,10,4
180555,332707,2.5572273113676265,4.553876891600541,5.648974238161206,6.9584483932976555,6.86,0.0,14.8,1,1,1,,10,4
180642,332708,1.7047480922384253,3.970291913552122,5.267858159063328,6.511745329644728,8.908,0.0703468,10.2,1,1,1,Am,80,4
180704,332717,1.0296194171811581,3.5553480614894135,4.812184355372417,5.996452088619021,8.99,0.0975136,7.2,1,1,1,Am,140,4
180704,332664,1.0647107369924282,3.5553480614894135,4.700480365792417,5.8377304471659395,8.83,0.113932,7.2,1,1,1,Ag,160,4
181153,332925,0.5306282510621704,3.1780538303479458,4.442651256490317,5.384495062789089,9.02,0.342321,7.0,1,2,0,Ah,440,0
181147,332823,0.3364722366212129,3.258096538021482,4.31748811353631,5.298317366548036,8.976,0.385804,6.9,1,2,0,W,490,0
181167,332778,0.4054651081081644,3.091042453358316,4.330733340286331,5.267858159063328,8.973,0.429289,6.3,1,2,0,W,530,0
181008,332777,0.26236426446749106,3.295836866004329,4.290459441148391,5.332718793265369,8.507,0.315116,5.6,1,2,0,Ab,400,4
180973,332687,0.26236426446749106,3.1780538303479458,4.204692619390966,5.19295685089021,8.743,0.320574,4.4,1,2,0,Ag,400,4
180916,332753,0.5877866649021191,3.091042453358316,4.465908118654584,5.480638923341991,8.973,0.249863,5.3,1,2,0,Ah,330,4
181352,332946,0.4054651081081644,3.044522437723423,4.174387269895637,5.19295685089021,9.043,0.489064,4.8,1,2,0,Ag,630,0
181133,332570,0.26236426446749106,3.367295829986474,4.356708826689592,5.337538079701318,8.688,0.472778,2.6,1,2,0,B,570,4
180878,332489,0.26236426446749106,3.044522437723423,4.1588830833596715,5.288267030694535,8.727,0.287957,1.0,1,2,0,Ag,390,4
180829,332450,0.7419373447293773,3.295836866004329,4.343805421853684,5.521460917862246,8.328,0.271622,2.4,1,2,0,Ah,360,4
180954,332399,0.1823215567939546,3.258096538021482,4.382026634673881,5.2574953720277815,7.971,0.385807,1.9,1,2,0,B,500,4
180956,332318,0.47000362924573563,3.295836866004329,4.406719247264253,5.3612921657094255,7.809,0.418417,3.1,1,2,0,B,550,4
180710,332330,1.0986122886681098,3.4657359027997265,4.574710978503383,5.771441123130016,6.986,0.244474,1.6,1,2,0,Ab,340,4
180632,332445,1.7578579175523736,3.912023005428146,5.111987788356544,6.343880434126331,7.756,0.135709,3.5,1,2,0,Ab,210,4
180530,332538,2.066862759472976,4.204692619390966,5.37989735354046,6.725033642166843,7.784,0.0484965,8.1,1,1,1,Am,60,4
180478,332578,2.0918640616783932,4.343805421853684,5.389071729816501,6.80903930604298,7.0,0.0,7.9,1,1,1,W,10,4
180383,332476,2.6461747973841225,4.68213122712422,6.003887067106539,7.282073658093465,6.92,0.00135803,9.5,1,1,1,W,20,4
180494,332330,0.8754687373538999,3.4657359027997265,4.624972813284271,5.697093486505405,7.516,0.135709,1.4,1,2,0,Am,170,4
180561,332193,0.1823215567939546,3.044522437723423,3.871201010907891,5.117993812416755,8.18,0.26622,,1,2,0,Ga,320,4
180451,332175,0.5306282510621704,3.091042453358316,4.174387269895637,5.170483995038151,8.694,0.211843,,1,2,0,W,260,2
180410,332031,0.26236426446749106,3.044522437723423,4.127134385045092,5.552959584921617,9.28,0.320572,2.0,1,2,0,Ah,360,2
180355,332299,1.4350845252893227,3.9318256327243257,5.638354669333745,6.61472560020376,7.94,0.081222,5.1,1,2,0,Ah,100,4
180292,332157,1.4586150226995167,3.912023005428146,5.683579767338681,6.61472560020376,6.36,0.190086,5.3,1,2,0,Am,200,2
180283,332014,1.1314021114911006,3.6375861597263857,5.351858133476067,6.139884552226255,7.78,0.287941,4.5,1,2,0,Ah,320,2
180282,331861,0.5306282510621704,3.258096538021482,4.90527477843843,5.8998973535824915,8.18,0.423826,4.9,1,2,0,Ah,480,2
180270,331707,0.5306282510621704,3.1780538303479458,4.718498871295094,5.641907070938114,9.42,0.554289,4.5,1,2,0,Bw,660,2
180199,331591,0.7419373447293773,3.4657359027997265,5.087596335232384,5.926926025970411,8.867,0.603225,5.5,1,2,0,Bw,690,2
180135,331552,0.5306282510621704,3.1780538303479458,4.543294782270004,5.402677381872279,8.292,0.614071,3.4,1,2,0,Ab,710,2
180237,332351,2.1041341542702074,3.8501476017100584,5.25227342804663,6.699500340161678,8.06,0.00135803,11.1,1,1,1,Ah,10,3
180103,332297,2.833213344056216,4.852030263919617,6.003887067106539,7.344719054149673,7.98,0.0,12.3,1,1,1,W,10,3
179973,332255,2.4849066497880004,4.762173934797756,6.483107351457199,7.516977224604321,7.9,0.0054321,16.5,1,1,1,W,10,3
179826,332217,2.2407096892759584,4.6443908991413725,6.1779441140506,7.331714969726466,7.74,0.0054321,13.9,1,1,1,W,10,3
179687,332161,2.1041341542702074,4.330733340286331,5.62040086571715,6.838405200847344,7.552,0.0054321,8.1,1,1,1,W,20,3
179792,332035,0.9555114450274363,3.58351893845611,5.19295685089021,6.068425588244111,7.76,0.146578,3.1,1,1,0,Fw,200,3
179902,332113,1.252762968495368,3.5263605246161616,5.332718793265369,6.309918278226516,6.74,0.135684,5.8,1,1,0,Fw,140,3
180100,332213,2.388762789235098,4.499809670330265,6.293419278846481,7.359467638255621,6.68,0.0703333,10.2,1,1,1,Fw,70,3
179604,332059,1.9878743481543455,4.382026634673881,5.736572297479192,7.081708586105575,7.4,0.0484831,12.0,1,1,1,W,20,3
179526,331936,2.2407096892759584,4.356708826689592,5.3471075307174685,6.810142450115136,7.44,0.0054321,14.1,1,1,1,W,10,3
179495,331770,2.1162555148025524,4.343805421853684,5.062595033026967,6.634633357861686,7.36,0.0054321,14.5,1,1,1,Fw,10,6
179489,331633,1.9459101490553132,4.174387269895637,4.948759890378168,6.490723534502507,7.2,0.0316663,14.8,1,1,1,W,20,6
179414,331494,1.916922612182061,4.189654742026425,4.969813299576001,6.466144724237619,7.22,0.0122243,13.3,1,1,1,Ah,10,6
179334,331366,2.0014800002101243,4.276666119016055,5.198497031265826,6.68586094706836,7.36,0.0122243,15.2,1,1,1,W,20,6
179255,331264,1.8870696490323797,4.31748811353631,5.153291594497779,6.664409020350408,5.18,0.0373395,11.4,1,1,1,W,20,6
179470,331125,2.0541237336955462,4.31748811353631,5.988961416889864,6.966024187106113,5.8,0.211846,9.0,1,1,0,Ah,270,6
179692,330933,-0.35667494393873245,3.091042453358316,3.8066624897703196,4.77912349311153,7.64,0.451037,3.6,1,1,1,Fw,560,5
179852,330801,1.2237754316221157,4.007333185232471,5.783825182329737,6.656726524178391,6.32,0.575877,6.9,1,1,0,Bw,750,5
179140,330955,1.3609765531356006,3.8501476017100584,5.5909869805108565,6.555356891810665,5.76,0.0756869,7.0,1,1,1,Ab,80,1
179128,330867,1.252762968495368,3.828641396489095,5.529429087511423,6.516193076042964,6.48,0.12481,6.2,1,1,1,Ab,130,1
179065,330864,1.547562508716013,4.007333185232471,5.752572638825633,6.675823221634848,6.48,0.103024,6.5,1,1,0,W,110,1
179007,330727,1.3609765531356006,3.8918202981106265,5.560681631015528,6.529418838262226,6.32,0.157469,5.7,1,1,0,W,200,1
179110,330758,1.1314021114911006,3.6635616461296463,5.4680601411351315,6.385194398997726,6.32,0.200976,7.0,1,1,1,Ah,260,1
179032,330645,1.0647107369924282,3.8066624897703196,5.429345628954441,6.3080984415095305,6.16,0.200976,7.3,1,1,0,W,270,1
179095,330636,1.3609765531356006,3.871201010907891,5.484796933490655,6.522092798170152,6.56,0.26622,8.2,1,1,0,W,320,1
179058,330510,0.9932517730102834,3.58351893845611,5.303304908059076,6.289715570908998,6.9,0.298835,4.3,1,1,0,Ah,360,1
178810,330666,0.9162907318741551,3.58351893845611,5.318119993844216,6.327936783729195,7.54,0.0812247,4.4,1,1,1,Am,80,1
178912,330779,1.7227665977411035,4.219507705176107,6.061456918928017,7.035268599281097,6.42,0.070355,8.2,1,1,1,W,100,1
178981,330924,2.2407096892759584,4.477336814478207,6.135564891081739,7.232010331664759,6.28,0.0122243,8.5,1,1,1,W,70,1
179076,331005,2.379546134130174,4.442651256490317,5.808142489980444,7.057036981697891,6.34,0.0,9.6,1,1,1,W,20,1
180151,330353,2.89591193827178,4.330733340286331,6.139884552226255,7.421775793644647,7.307,0.0537723,17.0,1,1,1,W,50,5
179211,331175,1.840549633397487,4.143134726391533,5.0689042022202315,6.639875833826536,5.7,0.0593662,12.8,1,1,1,W,80,6
181118,333214,0.7419373447293773,3.4657359027997265,4.7535901911063645,5.631211781821365,7.72,0.211843,5.9,1,2,0,W,290,0
179474,331304,0.5877866649021191,3.2188758248682006,4.394449154672439,5.484796933490655,7.932,0.12481,2.9,2,2,1,Ah,160,6
179559,331423,0.7884573603642703,3.295836866004329,4.875197323201151,5.75890177387728,7.82,0.12481,4.5,2,1,0,W,160,6
179022,330873,1.0296194171811581,3.58351893845611,5.375278407684165,6.300785794663244,8.575,0.0921516,10.7,2,1,0,W,140,1
178953,330742,0.8754687373538999,3.713572066704308,4.976733742420574,6.22455842927536,8.536,0.113941,9.4,2,1,0,W,150,1
178875,330516,0.9555114450274363,3.4965075614664802,5.093750200806762,6.040254711277414,8.504,0.179216,9.0,2,1,0,Ah,220,1
178803,330349,0.5877866649021191,3.295836866004329,4.859812404361672,5.805134968916488,8.659,0.233596,7.0,2,1,0,Am,280,1
179029,330394,0.6931471805599453,3.6375861597263857,4.997212273764115,5.991464547107982,7.633,0.336861,6.5,2,1,1,Am,450,1
178605,330406,0.9932517730102834,3.6109179126442243,5.365976015021851,6.315358001522335,8.538,0.070355,9.4,2,1,1,Am,70,1
178701,330557,0.9932517730102834,3.5263605246161616,5.420534999272286,6.3578422665081,7.68,0.0593662,10.2,2,1,0,Am,70,1
179547,330245,-0.10536051565782628,2.9444389791664403,3.9889840465642745,5.043425116919247,7.564,0.255341,6.4,2,1,0,W,340,7
179301,330179,-0.10536051565782628,3.091042453358316,4.248495242049359,5.4116460518550396,7.76,0.364067,7.6,2,1,0,W,470,7
179405,330567,-0.916290731874155,3.258096538021482,4.290459441148391,5.19295685089021,7.653,0.429295,7.0,2,1,0,Am,630,1
179462,330766,-0.2231435513142097,3.2188758248682006,4.465908118654584,5.420534999272286,7.951,0.380328,5.6,2,1,0,Am,460,1
179293,330797,-0.916290731874155,3.091042453358316,4.330733340286331,5.225746673713202,8.176,0.249874,6.5,2,1,0,Am,320,1
179180,330710,-0.916290731874155,3.1780538303479458,4.394449154672439,5.288267030694535,8.468,0.266212,6.6,2,1,0,Ah,320,1
179206,330398,-0.916290731874155,2.8903717578961645,4.219507705176107,5.231108616854587,8.41,0.451037,5.9,2,1,0,W,540,1
179618,330458,-0.2231435513142097,3.1354942159291497,4.189654742026425,5.293304824724492,7.61,0.30971,6.5,2,1,0,W,420,5
179782,330540,-0.916290731874155,3.091042453358316,3.8918202981106265,5.056245805348308,7.792,0.293359,6.4,2,1,0,SPO,380,5
179980,330773,-0.916290731874155,3.1354942159291497,4.143134726391533,5.313205979041787,8.76,0.532351,7.2,2,2,0,W,500,5
180067,331185,-0.916290731874155,3.1354942159291497,3.871201010907891,4.962844630259907,9.879,0.619513,6.6,2,3,0,Am,760,5
180162,331387,-1.6094379124341003,3.1354942159291497,3.9318256327243257,4.912654885736052,9.097,0.684725,4.3,2,2,0,Ah,750,2
180451,331473,-1.6094379124341003,2.8903717578961645,3.912023005428146,4.762173934797756,9.095,0.809742,5.3,2,3,0,Fw,1000,2
180328,331158,-0.916290731874155,2.995732273553991,3.6635616461296463,4.727387818712341,9.717,0.880389,4.1,2,3,0,Ah,860,5
180276,330963,-1.6094379124341003,3.091042453358316,3.871201010907891,4.867534450455582,9.924,0.749591,6.1,2,3,0,Ah,680,5
180114,330803,-1.6094379124341003,3.295836866004329,4.1588830833596715,5.2574953720277815,9.404,0.575752,7.5,2,3,0,Fw,500,5
179881,330912,-0.916290731874155,3.2188758248682006,4.430816798843313,5.480638923341991,10.52,0.581484,8.8,2,3,0,STA,650,5
179774,330921,-1.6094379124341003,3.4011973816621555,4.204692619390966,5.3981627015177525,8.84,0.49452,5.7,2,3,0,DEN,630,5
179657,331150,-1.6094379124341003,3.1354942159291497,3.8918202981106265,4.941642422609304,8.472,0.32058,6.1,2,3,0,Fw,410,6
179731,331245,-1.6094379124341003,3.1780538303479458,3.871201010907891,4.852030263919617,9.634,0.336851,7.1,2,3,0,Ah,390,6
179717,331441,-1.6094379124341003,3.044522437723423,4.02535169073515,5.111987788356544,9.206,0.249852,4.1,2,2,0,Ah,310,6
179446,331422,-1.6094379124341003,3.1780538303479458,4.174387269895637,5.25227342804663,8.47,0.0756869,6.0,2,1,0,Ah,70,6
179524,331565,-1.6094379124341003,3.044522437723423,4.430816798843313,5.44673737166631,8.463,0.0756869,6.6,2,1,0,W,70,6
179644,331730,-1.6094379124341003,3.1354942159291497,4.31748811353631,5.313205979041787,9.691,0.162853,6.8,2,1,1,STA,150,6
180321,330366,1.308332819650179,3.970291913552122,5.521460917862246,6.582025138892826,8.704,0.0974916,9.1,2,2,0,Bw,80,5
180162,331837,-1.6094379124341003,3.4965075614664802,4.394449154672439,5.3471075307174685,9.42,0.440142,5.9,2,2,0,Ah,450,2
180029,331720,-1.6094379124341003,3.091042453358316,4.276666119016055,5.288267030694535,9.573,0.4619,4.9,2,2,0,Aa,530,2
179797,331919,-1.6094379124341003,3.1354942159291497,4.454347296253507,4.9344739331306915,9.555,0.222701,7.1,2,1,0,W,240,3
179642,331955,-1.6094379124341003,3.2188758248682006,4.543294782270004,5.53338948872752,8.779,0.103024,8.1,2,1,1,Tv,70,3
179849,332142,0.1823215567939546,3.4011973816621555,5.497168225293202,6.555356891810665,8.54,0.0921353,8.3,2,1,0,Fw,70,3
180265,332297,0.8754687373538999,3.8501476017100584,5.6937321388027,6.723832440821209,8.809,0.0484884,10.0,2,1,0,Ah,60,3
180107,332101,-1.6094379124341003,3.4339872044851463,4.564348191467836,5.568344503761097,9.523,0.168331,5.9,2,1,0,Ah,190,3
180462,331947,-1.6094379124341003,2.995732273553991,4.02535169073515,4.955827057601261,9.811,0.38581,5.0,2,2,0,Ah,450,2
180478,331822,-1.6094379124341003,2.772588722239781,3.8918202981106265,4.77912349311153,9.604,0.489064,4.5,2,2,0,Am,550,2
180347,331700,-1.6094379124341003,2.833213344056216,3.912023005428146,5.0238805208462765,9.732,0.57602,5.4,2,2,0,Am,650,2
180862,333116,-0.916290731874155,3.258096538021482,4.997212273764115,6.028278520230698,9.518,0.0812194,2.3,2,1,0,Am,100,0
180700,332882,0.47000362924573563,3.5263605246161616,5.087596335232384,6.161207321695077,9.72,0.0373369,7.5,2,1,0,W,170,4
180201,331160,-0.2231435513142097,2.8903717578961645,3.6109179126442243,4.836281906951478,9.036,0.771698,4.6,2,3,1,Ah,860,5
180173,331923,0.1823215567939546,3.1354942159291497,4.382026634673881,5.3471075307174685,9.528,0.336829,5.8,2,2,0,W,410,2
180923,332874,-1.6094379124341003,2.995732273553991,4.382026634673881,5.393627546352362,9.155,0.228123,4.4,3,1,0,Aa,290,4
180467,331694,-1.6094379124341003,2.6390573296152584,3.8918202981106265,4.890349128221754,10.08,0.597761,4.4,3,2,0,Am,680,2
179917,331325,-0.2231435513142097,3.828641396489095,3.7376696182833684,4.948759890378168,9.97,0.44558,4.5,3,2,0,Am,540,6
179822,331242,0.0,3.367295829986474,3.871201010907891,5.062595033026967,10.136,0.396675,5.2,3,2,0,Am,480,6
179991,331069,-0.2231435513142097,2.9444389791664403,3.713572066704308,4.859812404361672,10.32,0.581478,4.6,3,3,0,W,720,5
179120,330578,0.1823215567939546,3.4339872044851463,4.290459441148391,5.327876168789581,9.041,0.287966,6.9,3,1,0,W,380,1
179034,330561,0.6931471805599453,3.295836866004329,4.983606621708336,6.111467339502679,7.86,0.233596,7.0,3,1,0,W,310,1
179085,330433,0.4054651081081644,3.367295829986474,4.553876891600541,5.69035945432406,8.741,0.364067,5.4,3,1,0,Ah,430,1
179236,330046,0.09531017980432493,3.091042453358316,4.276666119016055,5.241747015059643,7.822,0.331454,6.2,3,1,0,Ah,370,7
179456,330072,-0.2231435513142097,2.995732273553991,3.9318256327243257,5.0369526024136295,7.78,0.211846,5.0,3,1,0,Fw,290,7
179550,329940,-0.2231435513142097,2.995732273553991,3.9889840465642745,5.1298987149230735,8.121,0.103029,5.1,3,1,0,W,150,7
179445,329807,0.7419373447293773,3.367295829986474,4.912654885736052,5.998936561946683,8.231,0.070355,8.1,3,1,0,Bw,70,7
179337,329870,0.9162907318741551,3.6375861597263857,5.135798437050262,6.154858094016418,8.351,0.146576,8.0,3,1,0,Bw,220,7
179245,329714,1.33500106673234,3.6635616461296463,5.187385805840755,6.416732282512326,7.3,0.0537723,8.8,3,1,0,W,80,7
179024,329733,1.1631508098056809,3.5553480614894135,5.298317366548036,6.398594934535208,7.536,0.119286,9.3,3,1,0,W,120,7
178786,329822,1.1314021114911006,3.7376696182833684,5.552959584921617,6.663132695990803,7.706,0.0921435,8.4,3,1,0,Ah,120,7
179135,329890,0.4054651081081644,3.1780538303479458,4.532599493153256,5.552959584921617,8.07,0.249863,7.7,3,1,0,Am,260,7
179030,330082,0.1823215567939546,2.995732273553991,4.219507705176107,5.365976015021851,8.226,0.37494,5.7,3,1,0,Ah,440,7
179184,330182,-0.2231435513142097,2.995732273553991,3.8918202981106265,5.111987788356544,8.128,0.423837,4.7,3,1,0,Am,540,7
179085,330292,1.1314021114911006,3.6635616461296463,5.153291594497779,6.206575926724928,8.577,0.423837,9.1,3,1,0,Ah,520,7
178875,330311,0.7419373447293773,3.4339872044851463,4.77912349311153,5.834810737062605,8.429,0.27709,6.5,3,1,0,Ah,350,1
179466,330381,-0.2231435513142097,3.044522437723423,3.9318256327243257,5.087596335232384,9.406,0.358606,5.7,3,1,0,W,460,7
180627,330190,0.9932517730102834,3.295836866004329,4.820281565605037,5.926926025970411,8.261,0.0122243,5.5,3,3,0,W,40,5
